#  SN  PRN   Hour          X[km]         Y[km]          Z[km]           T[Ms]
# ===  ===  =====  =============  =============  =============  =============
    1  G10   0.00  -21416.426843  -11127.853998   11316.836204     187.513042
    2  G10   0.25  -19986.679760  -11161.994562   13650.678760     187.512127
    3  G10   0.50  -18310.671856  -11257.946470   15752.039896     187.511196
    4  G10   0.75  -16419.651407  -11444.709151   17585.001032     187.510276
    5  G10   1.00  -14351.028391  -11745.575463   19118.133520     187.509244
    6  G10   1.25  -12147.104538  -12177.104582   20325.030901     187.508308
    7  G10   1.50   -9853.623443  -12748.357529   21184.763901     187.507388
    8  G10   1.75   -7518.193589  -13460.425630   21682.250411     187.506461
    9  G10   2.00   -5188.642152  -14306.271679   21808.533620     187.505548
   10  G10   2.25   -2911.360481  -15270.892142   21560.962393     187.504646
   11  G10   2.50    -729.703105  -16331.796868   20943.269136     187.503738
   12  G10   2.75    1317.499235  -17459.790714   19965.541675     187.502813
   13  G10   3.00    3197.255568  -18620.029880   18644.087180     187.501920
   14  G10   3.25    4883.508522  -19773.314746   17001.187840     187.501037
   15  G10   3.50    6357.962654  -20877.571332   15064.749894     187.500071
   16  G10   3.75    7610.613725  -21889.465357   12867.849651     187.499175
   17  G10   4.00    8639.956558  -22766.086797   10448.182333     187.498353
   18  G10   4.25    9452.861630  -23466.639126    7847.421802     187.497486
   19  G10   4.50   10064.123646  -23954.066253    5110.501466     187.496499
   20  G10   4.75   10495.698641  -24196.551854    2284.828792     187.495573
   21  G10   5.00   10775.658999  -24168.830168    -580.552225     187.494644
   22  G10   5.25   10936.907604  -23853.254447   -3435.834676     187.493698
   23  G10   5.50   11015.702595  -23240.578733   -6231.341209     187.492667
   24  G10   5.75   11050.052310  -22330.420194   -8918.417409     187.491706
   25  G10   6.00   11078.045675  -21131.382303  -11450.307861     187.490709
   26  G10   6.25   11136.186071  -19660.833135  -13782.996972     187.489725
   27  G10   6.50   11257.796601  -17944.347341  -15875.997461     187.488712
   28  G10   6.75   11471.561621  -16014.834205  -17693.070757     187.487761
   29  G10   7.00   11800.263478  -13911.387051  -19202.865270     187.486599
   30  G10   7.25   12259.765074  -11677.900470  -20379.460662     187.485560
   31  G10   7.50   12858.278429   -9361.510982  -21202.808555     187.484563
   32  G10   7.75   13595.947406   -7010.923369  -21659.062654     187.483587
   33  G10   8.00   14464.759769   -4674.688936  -21740.793817     187.482609
   34  G10   8.25   15448.790339   -2399.503059  -21447.088140     187.481641
   35  G10   8.50   16524.763752    -228.587860  -20783.528517     187.480699
   36  G10   8.75   17662.912831    1799.778380  -19762.062406     187.479801
   37  G10   9.00   18828.097219    3653.529974  -18400.760522     187.478895
   38  G10   9.25   19981.137235    5307.834191  -16723.472971     187.477995
   39  G10   9.50   21080.310145    6745.826828  -14759.390860     187.477083
   40  G10   9.75   22082.950406    7959.037892  -12542.522662     187.476198
   41  G10  10.00   22947.092186    8947.494339  -10111.095627     187.475158
   42  G10  10.25   23633.091502    9719.499078   -7506.893312     187.474246
   43  G10  10.50   24105.166741   10291.097533   -4774.540816     187.473176
   44  G10  10.75   24332.799906   10685.254523   -1960.749695     187.472265
   45  G10  11.00   24291.946576   10930.774648     886.465325     187.471386
   46  G10  11.25   23966.009970   11061.008534    3718.585682     187.470502
